id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;4761;219;311;5;62;63;10;0;0;0;5.70532;40.6894;53.4301;0.994283;9.36496;0.622392;1206.08;0;0.546219;5;0.134454;0.722689;0.00840336;0.966387;4761;265733;0.253326;0.0938435;2.69945;210.048
2;8251;360;177;6;65;62;9;0;0;0;6.26625;45.2619;59.8868;0.994511;9.55704;0.18879;2822.35;0;0.689076;5;0.176471;0.97479;0.00840336;1;8251;281564;0.342062;0.163217;2.09574;488.574
3;7469;527;245;6;62;64;9;0;0;0;6.60751;47.805;51.6882;0.991796;7.82264;0.814826;3217.86;0;0.920168;5;0.222689;0.991597;0.00840336;1;7469;282346;0.430827;0.249898;1.72401;591.794
4;4493;190;293;5;63;65;9;0;0;0;6.1767;40.7215;47.1322;0.991376;7.63064;0.554176;1172.09;0;0.138655;5;0.138655;0.865546;0.00840336;1;4493;285322;0.260871;0.107436;2.42816;215.592
5;5084;417;312;6;59;63;9;0;0;0;5.94337;41.1767;54.8244;0.994107;9.22446;1.73963;1928.53;0;0.731092;5;0.197479;0.978992;0.00840336;1;5084;284731;0.379332;0.168609;2.24977;375.205
6;4051;361;325;5;56;63;9;0;0;0;5.42973;35.2517;48.8453;0.993802;8.9959;0.970933;1420.49;0;0.605042;5;0.184874;0.978992;0.012605;1;4051;285764;0.350651;0.12347;2.83996;261.28
7;4541;310;330;5;60;60;9;0;0;0;6.42717;40.6726;43.9272;0.989238;6.83461;2.86572;1189.29;0;0.37395;5;0.138655;0.932773;0.00840336;0.978992;4541;285274;0.261902;0.110992;2.35964;215.315
8;7999;540;151;7;62;59;9;0;0;0;7.01413;43.0511;54.6115;0.991718;7.78593;2.3057;3508.92;0;0.436975;5;0.226891;0.970588;0.00840336;1;7999;301137;0.438669;0.204261;2.14759;608.283
9;4695;301;155;7;59;58;9;0;0;0;6.58797;37.6762;40.1502;0.986446;6.09447;0.831574;1764.48;0;0.453782;5;0.193277;0.970588;0.00420168;0.987395;4695;304441;0.37582;0.137993;2.72348;334.178
10;8320;448;164;6;63;64;9;0;0;0;6.84781;49.6019;56.1925;0.992547;8.2059;0.832904;3335.24;0;0.710084;5;0.210084;0.995798;0.012605;1;8320;300816;0.40087;0.230238;1.74111;548.034
11;11167;520;189;6;64;64;9;1.65758;0.621977;0.0154337;7.38864;48.8088;58.9482;0.992114;7.97823;1.28741;5183.48;0;0.697479;5;0.239496;1;0.012605;1;11167;297969;0.464178;0.249389;1.86126;861.963
12;8131;315;243;6;64;63;9;0;0;0;7.24945;45.5604;52.8934;0.990563;7.29619;0.660442;2525.7;0;0.298319;5;0.159664;0.953781;0.00420168;0.983193;8131;301005;0.310624;0.129271;2.40289;429.573
13;5193;134;272;7;62;59;9;0;0;0;6.11816;42.2076;48.8534;0.992127;7.98499;1.71422;1612.15;0;0.37395;5;0.163866;0.945378;0.00840336;1;5193;303943;0.310445;0.121001;2.56564;291.174
14;10103;471;360;6;63;61;9;0;0;0;8.10254;41.6156;60.1382;0.990882;7.42215;2.30196;4098.01;0;0.504202;5;0.210084;0.991597;0.00840336;1;10103;299033;0.405624;0.209175;1.93916;667.589
15;8751;509;366;7;62;63;10;0;0;0;6.90832;49.7447;51.0612;0.990805;7.39126;2.98977;3303.34;0;0.5;5;0.193277;0.978992;0.00420168;1;8751;300385;0.377482;0.217519;1.7354;558.394
16;5427;330;378;7;59;60;9;0;0;0;7.02878;41.9312;45.0951;0.987778;6.41578;0.369636;2050.56;0;0.647059;5;0.197479;0.966387;0.012605;1;5427;303709;0.377844;0.129699;2.91323;349.95
17;9206;460;242;8;62;67;9;0;0;0;7.63259;46.1407;59.4105;0.991713;7.7838;1.69987;3998.33;0;0.773109;5;0.222689;0.995798;0.00840336;1;9206;319251;0.434317;0.229389;1.89336;642.322
18;9590;357;253;7;64;63;9;0;0;0;8.09247;45.9077;54.3386;0.988848;6.71472;0.284111;3302.2;0;0.319328;5;0.180672;0.978992;0.00840336;1;9590;318867;0.344337;0.138611;2.4842;522.144
19;5932;378;351;7;61;62;9;0;0;0;6.81706;44.6884;52.0174;0.991375;7.63047;1.09447;2003.34;0;0.605042;5;0.180672;0.953781;0.0168067;1;5932;322525;0.337716;0.143653;2.35092;345.737
