imageId,activeCells,totalCells
0,6,6
1,6,6
2,6,6
3,6,6
4,6,6
5,6,6
6,6,6
7,7,8
8,7,8
9,7,8
10,7,8
11,7,8
12,7,8
13,7,8
14,7,8
15,7,8
16,7,8
17,7,8
18,7,8
19,7,8
20,7,8
21,7,8
22,7,8
23,7,8
24,7,8
25,8,10
26,9,12
27,9,12
28,9,12
29,9,12
30,9,12
31,9,12
32,9,12
33,10,14
34,10,14
35,10,14
36,10,14
37,11,15
38,11,15
39,11,15
40,11,15
41,11,15
42,11,15
43,11,15
44,11,15
45,11,15
46,11,15
47,12,17
48,12,17
49,13,19
50,13,19
51,13,19
52,13,19
53,13,19
54,13,19
55,13,19
56,13,19
57,13,19
58,13,19
59,13,19
60,13,19
61,14,21
62,15,23
63,15,23
64,15,23
65,15,23
66,15,23
67,15,23
68,15,23
69,15,23
70,15,23
71,15,23
72,15,23
73,15,23
74,15,23
75,15,23
76,16,25
77,17,27
78,18,29
79,18,29
80,19,31
81,19,31
82,20,33
83,20,33
84,20,33
85,20,33
86,21,35
87,21,35
88,21,35
89,21,35
90,21,35
91,21,35
92,22,37
93,22,37
94,22,37
95,22,37
96,22,37
97,22,37
98,23,39
99,23,39
100,23,39
101,23,39
102,25,43
103,25,43
104,26,45
105,26,45
106,26,45
107,26,45
108,26,45
109,26,45
110,26,45
111,26,45
112,26,45
113,26,45
114,26,45
115,26,45
116,26,45
117,26,45
118,29,51
119,29,51
120,30,53
121,30,53
122,30,53
123,30,53
124,30,53
125,30,53
126,30,53
127,30,53
128,30,53
129,30,53
130,31,55
131,32,57
132,33,59
133,35,63
134,34,63
135,35,65
136,36,67
137,38,71
138,38,71
139,40,75
140,40,75
141,40,75
142,40,75
143,41,77
144,41,77
145,41,77
146,41,77
147,42,79
148,43,81
149,43,81
