cellId,activeCells,totalCells
0,4,4
1,4,4
2,4,4
3,4,4
4,6,8
5,6,8
6,6,8
7,7,10
8,7,10
9,7,10
10,7,10
11,8,12
12,8,12
13,8,12
14,8,12
15,8,12
16,8,12
17,8,12
18,10,16
19,12,20
20,12,20
21,12,20
22,12,20
23,12,20
24,13,22
25,14,24
26,14,24
27,14,24
28,14,24
29,15,26
30,15,26
31,15,26
32,15,26
33,15,26
34,15,26
35,24,44
36,24,44
37,24,44
38,24,44
39,24,44
40,24,44
41,24,44
42,24,44
43,24,44
44,24,44
45,26,48
46,26,48
47,26,48
48,26,48
49,26,48
50,26,48
51,26,48
52,28,52
53,28,52
54,28,52
55,28,52
56,28,52
57,28,52
58,30,56
59,37,70
60,43,82
61,45,86
62,45,86
63,45,86
64,46,88
65,46,88
66,47,90
67,47,90
68,48,92
69,49,94
70,50,96
71,51,98
72,51,98
73,51,98
74,51,98
75,51,98
76,51,98
77,51,98
78,51,98
79,51,98
80,53,102
81,53,102
82,54,104
83,54,104
84,55,106
85,60,116
86,67,130
87,77,150
88,82,160
89,87,170
90,88,172
91,88,172
92,88,172
93,88,172
94,88,172
95,88,172
96,88,172
97,90,176
98,92,180
99,93,182
100,93,182
101,95,186
102,96,188
103,97,190
104,97,190
105,98,192
106,100,196
107,100,196
108,101,198
109,102,200
110,102,200
111,103,202
112,104,204
113,105,206
114,105,206
115,106,208
116,106,208
117,108,212
118,111,218
119,116,228
120,127,250
121,139,274
122,145,286
123,151,298
124,157,310
125,161,318
126,163,322
127,168,332
128,168,332
129,174,344
130,176,348
131,178,352
132,179,354
133,180,356
134,180,356
135,181,358
136,182,360
137,183,362
138,185,366
139,186,368
140,186,368
141,186,368
142,186,368
143,187,370
144,187,370
145,188,372
146,190,376
147,191,378
148,192,380
149,192,380
150,192,380
151,192,380
152,193,382
153,193,382
154,195,386
155,197,390
156,200,396
157,200,396
158,201,398
159,205,406
160,206,408
161,211,418
162,215,426
163,227,450
164,232,460
165,240,476
166,256,508
167,268,532
168,278,552
169,287,570
170,299,594
171,306,608
172,316,628
173,317,630
174,324,644
175,329,654
176,334,664
177,340,676
178,342,680
179,346,688
180,348,692
181,350,696
182,352,700
183,356,708
184,356,708
185,357,710
186,359,714
187,359,714
188,359,714
189,359,714
190,360,716
191,360,716
192,362,720
193,362,720
194,362,720
195,0,720
196,0,720
197,0,720
198,0,720
199,0,720
200,0,720
201,0,720
202,0,720
203,0,720
204,0,720
205,0,720
206,0,720
207,0,720
208,0,720
209,0,720
210,0,720
211,0,720
212,0,720
213,0,720
214,0,720
215,0,720
216,0,720
217,0,720
218,0,720
219,0,720
220,0,720
221,0,720
222,0,720
223,0,720
224,0,720
225,0,720
226,0,720
227,0,720
228,0,720
229,0,720
230,0,720
231,0,720
232,0,720
233,0,720
234,0,720
235,0,720
236,0,720
237,0,720
238,0,720
239,0,720
240,0,720
241,0,720
242,0,720
243,0,720
244,0,720
245,0,720
246,0,720
247,0,720
248,0,720
249,0,720
