id;size;xpos;ypos;zpos;xsize;ysize;zsize;weightedx;weightedy;weightedz;minaxis;medaxis;majaxis;eccentricity;elongation;orientation;integratedintensty;sigma;seedIntensity;seedScale;minIntensityForeground;maxIntensityForeground;minIntensityBackground;maxIntensityBackground;volumeForeground;volumeBackground;foregroundIntensity;backgroundIntensity;fg/bg ratio;integratedGradientMag
1;4857;123;331;12;43;30;11;0;0;0;10.0354;23.8327;34.1802;0.907026;2.37487;1.74436;1187.71;0;0.618182;5;0.130303;0.69697;0.00909091;0.363636;4857;400884;0.244536;0.0725115;3.37238;244.696
2;20641;220;337;14;67;67;10;0;0;0;8.8743;55.9885;58.6719;0.987359;6.30905;1.65451;2042.85;0;0.212121;5;0.0515152;0.312121;0;0.336364;20641;385100;0.0989704;0.071562;1.383;256.115
3;18915;300;100;17;65;67;10;0;0;0;8.75636;55.6948;56.921;0.987563;6.36049;-0.678824;1845.19;0;0.151515;5;0.0545455;0.351515;0.00909091;0.39697;18915;386826;0.097552;0.0715577;1.36326;236.089
4;18037;318;22;19;67;53;10;0;0;0;8.94958;49.8757;58.811;0.983769;5.57297;1.5237;1721.65;0;0.221212;5;0.0545455;0.29697;0.0121212;0.39697;18037;241754;0.0954512;0.0720821;1.3242;201.292
5;19277;520;487;20;67;66;10;0;0;0;8.91359;55.3119;56.5617;0.98693;6.20534;1.09045;1990.12;0;0.136364;5;0.0575758;0.312121;0.00909091;0.315152;19277;386464;0.103238;0.070306;1.4684;263.647
6;18401;327;83;21;65;64;11;0;0;0;8.83475;55.8198;56.2759;0.987395;6.31821;1.86307;1866.62;0;0.212121;5;0.0575758;0.39697;0.00909091;0.387879;18401;387340;0.10144;0.0736351;1.37761;241.362
7;18548;173;390;23;64;65;9;0;0;0;9.00692;54.4855;55.47;0.986242;6.04929;-1.01001;1975.69;0;0.224242;5;0.0606061;0.266667;0.0121212;0.69697;18548;387193;0.106517;0.0829691;1.28381;238.89
8;19011;120;384;24;64;65;10;0;0;0;8.99651;54.5546;55.9333;0.986309;6.06397;0.689624;2029.09;0;0.163636;5;0.0606061;0.312121;0.0121212;0.627273;19011;386730;0.106731;0.0806063;1.32411;244.639
9;18026;330;22;26;67;54;11;0;0;0;9.01824;49.3855;58.531;0.983186;5.47618;1.49282;1813.32;0;0.112121;5;0.0575758;0.293939;0.0121212;0.39697;18026;241765;0.100594;0.0725556;1.38645;212.952
10;9457;165;71;28;56;58;10;0;0;0;9.92421;34.788;41.6955;0.958445;3.50537;-0.236484;1754.52;0;0.260606;5;0.1;0.369697;0.00909091;0.6;9457;396284;0.185525;0.0714246;2.5975;262.327
